pdf_name,page,mp_formula,compound_raw,log_Jc,temperature_K,field_T,Tc_K,Hc2_T_lit
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,5.0,5.0,0.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.977723605288848,5.0,1.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.954242509439325,5.0,2.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.929418925714293,5.0,3.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.903089986991944,5.0,4.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.8750612633917,5.0,5.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.845098040014257,5.0,6.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.812913356642856,5.0,7.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.778151250383644,5.0,8.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.740362689494244,5.0,9.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 5 K,4.698970004336019,5.0,10.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.954242509439325,10.0,0.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.929418925714293,10.0,1.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.903089986991944,10.0,2.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.8750612633917,10.0,3.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.845098040014257,10.0,4.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.812913356642856,10.0,5.0,31.0,25.0
0003253v2.pdf,2,KBa2Bi2O7,T = 10 K,4.778151250383644,10.0,6.0,31.0,25.0
