paper_id,compound_formula,substructure,field_T,Tc_K,Tc_source,sample,sample_choice_reason,n_T_pts,T_min,T_max,t_reduced_max,beta_T,logJc0,SE_beta_T,rms,x_span_dex,beta_lo,beta_hi,source,field_span_dex,grade,grade_reason
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.0823,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,4.572814284448699,6.264280193433699,0.008855135599405163,0.0007121171198153272,0.1819,4.5554582186738655,4.590170350223533,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.1295,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,5.481664009863647,6.279374276729665,0.08047558784216308,0.006471729674411328,0.1819,5.323931857693007,5.639396162034287,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.2038,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,6.39051373527857,6.294468360025623,0.16980631128373055,0.013655576468637921,0.1819,6.057693365162458,6.723334105394682,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.3207,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,7.2540717440914095,6.259912086335702,0.19444366492862117,0.015636876598999528,0.1819,6.872962160831312,7.635181327351507,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.5045,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,7.546226689052278,6.1949017727051325,0.20609266959074563,0.016573672603485856,0.1819,7.1422850566544165,7.95016832145014,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.7939,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,7.859886586380582,6.130158314304636,0.1477424207494876,0.01188123049699394,0.1819,7.570311441711586,8.149461731049577,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,1.2491,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,7.845443119620024,6.050919590792586,0.05344516502056173,0.004297982403008474,0.1819,7.740690596179722,7.950195643060325,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,1.9654,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,8.003190278836007,5.968151590277346,0.07633296648729596,0.00613858609297237,0.1819,7.853577664520906,8.152802893151106,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,3.0925,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,8.300506368070485,5.871642014282687,0.11883384922553261,0.00955644523983796,0.1819,8.06759202358844,8.533420712552529,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,4.8659,54.6,paper-reported: critical temperatures Tc = 54.6 K,SmO(1-x)F(x)FeAs,,3,2.0,20.0,0.3663,7.991907829550481,5.685109232344557,0.510198523582017,0.0410294228776874,0.1819,6.991918723329728,8.991896935771234,rebuilt from figure trace 0806_2839v1_fig3,1.7718,extrapolated,3 isotherms; lever 0.182 dex
